lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
java,smart,hard,hard_n258_m22575_s4,258,22575,NA,NA,60000,NA,1,3
python,smart,structured,structured_n30_m90_s0,30,90,30,30,1.325,61,0,1
cpp,smart,structured,structured_n30_m90_s0,30,90,30,30,0.032,61,0,1
java,smart,structured,structured_n30_m90_s0,30,90,30,30,3.559,61,0,1
python,smart,structured,structured_n30_m90_s0,30,90,30,30,1.343,61,0,2
cpp,smart,structured,structured_n30_m90_s0,30,90,30,30,0.033,61,0,2
java,smart,structured,structured_n30_m90_s0,30,90,30,30,3.600,61,0,2
python,smart,structured,structured_n30_m90_s0,30,90,30,30,1.372,61,0,3
cpp,smart,structured,structured_n30_m90_s0,30,90,30,30,0.033,61,0,3
java,smart,structured,structured_n30_m90_s0,30,90,30,30,3.601,61,0,3
python,smart,structured,structured_n30_m90_s1,30,90,30,30,1.435,61,0,1
cpp,smart,structured,structured_n30_m90_s1,30,90,30,30,0.035,61,0,1
java,smart,structured,structured_n30_m90_s1,30,90,30,30,3.659,61,0,1
python,smart,structured,structured_n30_m90_s1,30,90,30,30,1.399,61,0,2
cpp,smart,structured,structured_n30_m90_s1,30,90,30,30,0.031,61,0,2
java,smart,structured,structured_n30_m90_s1,30,90,30,30,3.648,61,0,2
python,smart,structured,structured_n30_m90_s1,30,90,30,30,1.389,61,0,3
cpp,smart,structured,structured_n30_m90_s1,30,90,30,30,0.033,61,0,3
java,smart,structured,structured_n30_m90_s1,30,90,30,30,3.616,61,0,3
python,smart,structured,structured_n30_m90_s2,30,90,30,30,1.316,61,0,1
cpp,smart,structured,structured_n30_m90_s2,30,90,30,30,0.032,61,0,1
java,smart,structured,structured_n30_m90_s2,30,90,30,30,3.589,61,0,1
python,smart,structured,structured_n30_m90_s2,30,90,30,30,1.296,61,0,2
cpp,smart,structured,structured_n30_m90_s2,30,90,30,30,0.032,61,0,2
java,smart,structured,structured_n30_m90_s2,30,90,30,30,3.638,61,0,2
python,smart,structured,structured_n30_m90_s2,30,90,30,30,1.319,61,0,3
cpp,smart,structured,structured_n30_m90_s2,30,90,30,30,0.033,61,0,3
java,smart,structured,structured_n30_m90_s2,30,90,30,30,3.667,61,0,3
python,smart,structured,structured_n30_m90_s3,30,90,30,30,1.287,61,0,1
cpp,smart,structured,structured_n30_m90_s3,30,90,30,30,0.030,61,0,1
java,smart,structured,structured_n30_m90_s3,30,90,30,30,3.521,61,0,1
python,smart,structured,structured_n30_m90_s3,30,90,30,30,1.302,61,0,2
cpp,smart,structured,structured_n30_m90_s3,30,90,30,30,0.032,61,0,2
java,smart,structured,structured_n30_m90_s3,30,90,30,30,3.592,61,0,2
python,smart,structured,structured_n30_m90_s3,30,90,30,30,1.275,61,0,3
cpp,smart,structured,structured_n30_m90_s3,30,90,30,30,0.033,61,0,3
java,smart,structured,structured_n30_m90_s3,30,90,30,30,3.557,61,0,3
python,smart,structured,structured_n30_m90_s4,30,90,30,30,1.314,61,0,1
cpp,smart,structured,structured_n30_m90_s4,30,90,30,30,0.033,61,0,1
java,smart,structured,structured_n30_m90_s4,30,90,30,30,3.559,61,0,1
python,smart,structured,structured_n30_m90_s4,30,90,30,30,1.302,61,0,2
cpp,smart,structured,structured_n30_m90_s4,30,90,30,30,0.031,61,0,2
java,smart,structured,structured_n30_m90_s4,30,90,30,30,3.610,61,0,2
python,smart,structured,structured_n30_m90_s4,30,90,30,30,1.294,61,0,3
cpp,smart,structured,structured_n30_m90_s4,30,90,30,30,0.031,61,0,3
java,smart,structured,structured_n30_m90_s4,30,90,30,30,3.590,61,0,3
python,smart,structured,structured_n50_m150_s0,50,150,50,50,4.235,101,0,1
cpp,smart,structured,structured_n50_m150_s0,50,150,50,50,0.068,101,0,1
